subject,itemID,pres.order,Item,Itemtype,Length,ColFreq,answer,res,RT
2,1,87,thick fog,JE,9,145,TRUE,1,1273
2,2,61,stupid idea,JE,11,112,TRUE,1,1012
2,3,31,thin lips ,JE,9,266,TRUE,1,1265
2,4,121,deep love,JE,9,140,TRUE,1,930
2,5,43,small room,JE,10,1010,TRUE,1,1016
2,6,98,long sleep,JE,10,82,TRUE,1,771
2,7,26,cold tea,JE,8,37,TRUE,1,1031
2,8,101,broken window,JE,13,249,TRUE,1,1080
2,9,99,final year,JE,10,620,TRUE,1,1023
2,10,25,front tire,JE,10,139,TRUE,1,2434
2,11,18,famous person,JE,13,234,TRUE,1,876
2,12,71,good news,JE,9,10360,TRUE,1,860
2,13,57,economic growth,JE,15,6627,TRUE,1,913
2,14,23,black hole,JE,10,2889,TRUE,1,976
2,15,133,near future,JE,11,2422,TRUE,1,895
2,16,130,tragic deaths,JE,13,49,TRUE,1,1185
2,17,134,beautiful woman,JE,15,1386,TRUE,1,1526
2,18,136,handsome man,JE,12,606,TRUE,1,905
2,19,112,bitter experience,JE,17,97,TRUE,1,1868
2,20,106,big eyes,JE,8,321,TRUE,0,1202
2,21,109,high price,JE,10,971,TRUE,1,1007
2,22,21,strong wind,JE,11,238,TRUE,1,1495
2,23,56,clean water,JE,11,1797,TRUE,1,999
2,24,19,bad debt,Eonly,8,203,TRUE,0,1370
2,25,45,bare feet,Eonly,9,1552,TRUE,1,1698
2,26,47,brief moment,Eonly,12,656,TRUE,1,1201
2,27,1,broad daylight,Eonly,14,597,TRUE,0,1768
2,28,78,busy road,Eonly,9,77,TRUE,0,931
2,29,84,careful attention,Eonly,17,396,TRUE,1,1004
2,30,34,coming months,Eonly,13,938,TRUE,1,1273
2,31,35,early bird,Eonly,10,178,TRUE,1,808
2,32,80,easy decision,Eonly,13,217,TRUE,0,1170
2,33,9,false teeth,Eonly,11,200,TRUE,0,1993
2,34,73,flat rate,Eonly,9,125,TRUE,0,1360
2,35,60,free speech,Eonly,11,3214,TRUE,1,795
2,36,54,full understanding,Eonly,18,198,TRUE,1,1049
2,37,62,hard luck,Eonly,9,93,TRUE,0,1126
2,38,68,low speed,Eonly,9,501,TRUE,0,846
2,39,3,lucky guess,Eonly,11,30,TRUE,0,1607
2,40,117,open arms,Eonly,9,473,TRUE,0,1268
2,41,135,poor health,Eonly,11,642,TRUE,1,1811
