id,名前,タイプ1,高さ,重さ,世代,ステータス,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,捕まえやすさ,進化,画像URL
1,フシギダネ,くさ,0.7,6.9,1,318,45,49,49,65,65,45,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png
2,フシギソウ,くさ,1,13,1,405,60,62,63,80,80,60,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png
3,フシギバナ,くさ,2,100,1,525,80,82,83,100,100,80,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png
4,ヒトカゲ,ほのお,0.6,8.5,1,309,39,52,43,60,50,65,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png
5,リザード,ほのお,1.1,19,1,405,58,64,58,80,65,80,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png
6,リザードン,ほのお,1.7,90.5,1,534,78,84,78,109,85,100,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png
7,ゼニガメ,みず,0.5,9,1,314,44,48,65,50,64,43,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png
8,カメール,みず,1,22.5,1,405,59,63,80,65,80,58,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png
9,カメックス,みず,1.6,85.5,1,530,79,83,100,85,105,78,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png
10,キャタピー,むし,0.3,2.9,1,195,45,30,35,20,20,45,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png
11,トランセル,むし,0.7,9.9,1,205,50,20,55,25,25,30,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png
12,バタフリー,むし,1.1,32,1,395,60,45,50,90,80,70,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png
13,ビードル,むし,0.3,3.2,1,195,40,35,30,20,20,50,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png
14,コクーン,むし,0.6,10,1,205,45,25,50,25,25,35,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png
15,スピアー,むし,1,29.5,1,395,65,90,40,45,80,75,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png
16,ポッポ,ノーマル,0.3,1.8,1,251,40,45,40,35,35,56,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png
17,ピジョン,ノーマル,1.1,30,1,349,63,60,55,50,50,71,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png
18,ピジョット,ノーマル,1.5,39.5,1,479,83,80,75,70,70,101,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png
19,コラッタ,ノーマル,0.3,3.5,1,253,30,56,35,25,35,72,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png
20,ラッタ,ノーマル,0.7,18.5,1,413,55,81,60,50,70,97,127,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png
21,オニスズメ,ノーマル,0.3,2,1,262,40,60,30,31,31,70,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png
22,オニドリル,ノーマル,1.2,38,1,442,65,90,65,61,61,100,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png
23,アーボ,どく,2,6.9,1,288,35,60,44,40,54,55,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png
24,アーボック,どく,3.5,65,1,448,60,95,69,65,79,80,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png
25,ピカチュウ,でんき,0.4,6,1,320,35,55,40,50,50,90,190,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png
